model,airport,horizon,mae,rmse,mape,bias,mase,airport_name
SARIMA,FR_LFLL,12,37336.10628841818,42676.08955675327,4.350010169959549,10725.467955273218,0.0,Lyon
SARIMA,FR_LFLL,11,35507.00490315614,39858.19639554167,4.088062250485107,2147.621827491961,0.0,Lyon
SARIMA,FR_LFRS,12,47457.64876697387,64735.544392615244,7.671790781602439,-40530.242774363476,0.0,Nantes
SARIMA,FR_LFRS,11,30834.557396514054,40023.03846328064,5.328680726376104,1035.0800109739014,0.0,Nantes
SARIMA,HU_LHBP,12,102437.49721801584,106866.95035531385,6.965818884878197,-73640.98325079873,0.0,Budapest
SARIMA,HU_LHBP,15,113742.71701121032,143244.76888009981,7.931856235936224,103801.37217707411,0.0,Budapest
SARIMA,PT_LPPT,12,137007.28257746543,168689.25253766033,4.890673023182044,-19544.09400671154,0.0,Lisbon
SARIMA,PT_LPPT,12,104335.09749566326,127820.51751203944,3.5882318841843035,-16477.309672751737,0.0,Lisbon
SARIMA,PT_LPPR,12,76270.72394481512,89759.66946788524,6.499684835935603,31061.713282945664,0.0,Porto
SARIMA,PT_LPPR,12,77419.0784935955,91192.42390213737,5.3355000818107,-55763.66193287634,0.0,Porto
SARIMA,RS_LYBE,12,140518.2573260089,146292.62321388433,20.93137667403699,140518.2573260089,0.0,Belgrade
SARIMA,RS_LYBE,12,52975.43110649701,58598.66880429251,6.877910514225507,-52975.43110649701,0.0,Belgrade
LightGBM_Global,FR_LFLL,12,24209.86261894903,27959.12165871024,2.9130597411450405,21648.356837234325,0.0,Lyon
LightGBM_Global,FR_LFLL,11,33209.96486632316,39832.31131915377,3.7913305080763973,27261.316225905342,0.0,Lyon
LightGBM_Global,FR_LFRS,12,35760.33605372336,47110.600192114616,6.3773589114849205,-5484.331667243086,0.0,Nantes
LightGBM_Global,FR_LFRS,11,30756.166149482535,40759.00354000328,5.474244088902947,-776.859627416495,0.0,Nantes
LightGBM_Global,HU_LHBP,12,63794.20828805623,74936.72496007151,4.184892881080661,-56361.73777032349,0.0,Budapest
LightGBM_Global,HU_LHBP,15,96292.06866951626,113307.25657729612,6.141382833680778,-7311.680804467356,0.0,Budapest
LightGBM_Global,PT_LPPT,12,102504.71303315561,138757.757350678,3.347328655221276,-65098.218941455554,0.0,Lisbon
LightGBM_Global,PT_LPPT,12,188660.1201661335,218504.84624638985,6.0427291361751605,-125868.31769650844,0.0,Lisbon
LightGBM_Global,PT_LPPR,12,38603.18176348686,42382.56527137955,2.883689810534226,19878.01625529739,0.0,Porto
LightGBM_Global,PT_LPPR,12,31742.6860294096,38485.91649632734,2.395230631011001,9393.377814437225,0.0,Porto
LightGBM_Global,RS_LYBE,12,30620.916505927366,35811.86315162237,4.977238903634843,20503.35398586371,0.0,Belgrade
LightGBM_Global,RS_LYBE,12,31268.93044866828,37028.29667540912,4.49128823122478,9713.154072201005,0.0,Belgrade
LightGBM_Local,FR_LFLL,12,23841.401157817843,28280.665795638517,2.796005409084416,4225.698717007569,0.0,Lyon
LightGBM_Local,FR_LFLL,11,27978.94095233777,33140.73495609894,3.2693427297390096,17827.614033585836,0.0,Lyon
LightGBM_Local,FR_LFRS,12,37380.343334697005,44628.38911603132,7.215164870299286,-11800.522470728349,0.0,Nantes
LightGBM_Local,FR_LFRS,11,35530.08140957073,46854.53399286031,6.477689860047272,-15066.574058417486,0.0,Nantes
LightGBM_Local,HU_LHBP,12,131118.4632023663,149193.03796874717,8.719122100384926,-126213.02783130204,0.0,Budapest
LightGBM_Local,HU_LHBP,15,189290.54940828768,227045.18869009498,11.150643190048722,-172164.8489183465,0.0,Budapest
LightGBM_Local,PT_LPPT,12,127529.9989895055,152298.73518957256,4.335323111032821,-56405.54770058723,0.0,Lisbon
LightGBM_Local,PT_LPPT,12,180764.4753271154,223222.15533032618,5.736963578250121,-137261.92559490932,0.0,Lisbon
LightGBM_Local,PT_LPPR,12,93470.3276100883,107038.78561047371,6.711160073674156,-63361.24764119552,0.0,Porto
LightGBM_Local,PT_LPPR,12,162722.24991349064,189054.23191971172,10.802235077549803,-126799.49856715744,0.0,Porto
